url,title_old,title_new,title_len_old,title_len_new,desc_old,desc_new,desc_len_old,desc_len_new
/about/,About Italopedia & Fabrizio Boggio — Italopedia,,47,,"Italopedia is an English-language reference site for Americans moving to Italy, ...","Italopedia is an English-language reference site for Americans moving to Italy, ...",191,164
/citizenship/apostille-document-translation-italy/,Apostille & Document Translation for Italy: The Complete American Guide (2025) — Italopedia,Apostille & Document Translation for Italy (2025) — Italopedia,91,62,Everything Americans need to know about apostilling U.S. documents for Italy and...,Everything Americans need to know about apostilling U.S. documents for Italy and...,200,164
/citizenship/citizenship-court-vs-consulate-route/,Italian Citizenship: Court Route vs Consulate Route — Which Is Right for You? (2025) — Italopedia,Italian Citizenship: Court vs Consulate Route (2025) — Italopedia,97,65,Complete comparison of the two pathways to Italian citizenship by descent — the ...,Complete comparison of the two pathways to Italian citizenship by descent — the ...,181,159
/citizenship/,"Italian Citizenship for Americans — Jure Sanguinis, Marriage, Residency — Italopedia",Italian Citizenship for Americans — Italopedia,84,46,"Citizenship by descent (jure sanguinis), by marriage, by ten-year residency, by ...","Citizenship by descent (jure sanguinis), by marriage, by ten-year residency, by ...",236,157
/citizenship/italian-citizenship-10-years-residency-naturalization/,Italian Citizenship by 10 Years of Residency: The Naturalization Route for Americans (2025) — Italopedia,Italian Citizenship by 10 Years of Residency (2025) — Italopedia,104,64,Americans who lived legally in Italy for 10 consecutive years can apply for Ital...,Americans who lived legally in Italy for 10 consecutive years can apply for Ital...,231,161
/citizenship/italian-citizenship-1948-case/,Italian Citizenship 1948 Case: The Maternal Line Route for Americans (2025) — Italopedia,Italian Citizenship 1948 Case (2025) — Italopedia,88,49,Complete guide to claiming Italian citizenship through the maternal line via the...,Complete guide to claiming Italian citizenship through the maternal line via the...,168,160
/citizenship/italian-citizenship-by-marriage/,Italian Citizenship by Marriage: The Complete Guide for Americans (2025) — Italopedia,Italian Citizenship by Marriage (2025) — Italopedia,85,51,Everything Americans need to know about acquiring Italian citizenship through ma...,Everything Americans need to know about acquiring Italian citizenship through ma...,189,157
/citizenship/jure-sanguinis/,Italian Citizenship by Descent (Jure Sanguinis): Complete 2025 Guide — Italopedia,Italian Citizenship by Descent (Jure Sanguinis) — Italopedia,81,60,Italy recognises citizenship through ancestry — potentially across many generati...,Italy recognises citizenship through ancestry — potentially across many generati...,270,162
/cost-of-living/cost-of-living-italy-vs-usa/,Cost of Living: Italy vs USA — What Americans Actually Save (and Spend More On) in 2025 — Italopedia,Cost of Living: Italy vs USA (2025) — Italopedia,100,48,"Honest, data-driven comparison of what life costs in Italy vs. the United States...","Honest, data-driven comparison of what life costs in Italy vs. the United States...",169,162
/cost-of-living/cost-of-living-milan/,Cost of Living in Milan for Americans: The Real Numbers in 2025 — Italopedia,Cost of Living in Milan for Americans (2025) — Italopedia,76,57,"Honest, detailed breakdown of what it actually costs to live in Milan as an Amer...","Honest, detailed breakdown of what it actually costs to live in Milan as an Amer...",173,164
/cost-of-living/cost-of-living-turin-american-expats-2025/,Cost of Living in Turin for American Expats: Real 2025 Numbers — Italopedia,Cost of Living in Turin for American Expats — Italopedia,75,56,"Real cost of living data for Turin (Torino), Italy in 2025 — rent by neighborhoo...","Real cost of living data for Turin (Torino), Italy in 2025 — rent by neighborhoo...",183,160
