priority,url,file,title,title_len,title_issues,desc,desc_len,desc_issues
MEDIUM,//,index.html,Italopedia — Move to Italy: The Complete Guide for Americans,60,Missing brand suffix '— Italopedia',"The most complete English-language reference for Americans moving to Italy. 62 verified guides on visas, residency, taxes, healthcare, property, citizenship and...",163,
MEDIUM,/404.html,404.html,404 — Page not found — Italopedia,33,,The page you are looking for does not exist.,44,"TOO SHORT (44 chars, min 100)"
MEDIUM,/checkout/,checkout/index.html,Checkout — Italopedia,21,"TOO SHORT (21 chars, min 30)",,0,MISSING description (service page)
MEDIUM,/citizenship/,citizenship/index.html,Italian Citizenship for Americans — Italopedia,46,,"Citizenship by descent (jure sanguinis), by marriage, by ten-year residency, by special merit. The 2024 court changes, the document hunt, the consulate vs...",157,NO Italy/Italian in description
MEDIUM,/citizenship/jure-sanguinis/,citizenship/jure-sanguinis/index.html,Italian Citizenship by Descent (Jure Sanguinis) — Italopedia,60,No year (2025) in title,"Italy recognises citizenship through ancestry — potentially across many generations. For Americans with Italian roots, jure sanguinis is the most consequential...",162,
MEDIUM,/contact/,contact/index.html,Contact Italopedia — Fabrizio Boggio,36,Missing brand suffix '— Italopedia',"Get in touch with Italopedia. Questions, corrections, press inquiries, or consultation requests — Fabrizio Boggio reads every message.",134,
MEDIUM,/cookie-policy/,cookie-policy/index.html,Cookie Policy — Italopedia,26,"TOO SHORT (26 chars, min 30)",,0,MISSING description (service page)
MEDIUM,/cookies/,cookies/index.html,Cookie Policy — Italopedia,26,"TOO SHORT (26 chars, min 30)","Full GDPR-compliant cookie policy for Italopedia — which cookies we use, why, and how to control them.",102,
MEDIUM,/cost-of-living/cost-of-living-milan/,cost-of-living/cost-of-living-milan/index.html,Cost of Living in Milan for Americans (2025) — Italopedia,57,,"Honest, detailed breakdown of what it actually costs to live in Milan as an American — rent, food, transport, healthcare, and total monthly budgets for different...",164,NO Italy/Italian in description
MEDIUM,/privacy-policy/,privacy-policy/index.html,Privacy Policy — Italopedia,27,"TOO SHORT (27 chars, min 30)",,0,MISSING description (service page)
MEDIUM,/privacy/,privacy/index.html,Privacy Policy — Italopedia,27,"TOO SHORT (27 chars, min 30)","How Italopedia collects, uses, and protects your personal information. Full GDPR-compliant privacy policy.",106,
MEDIUM,/property/,property/index.html,Buying Property in Italy as an American — Italopedia,52,,"From the compromesso to the rogito, from notary fees to the IMU, from the €1 home programs to the centro storico apartment in Florence — the full process of...",159,NO Italy/Italian in description
MEDIUM,/regions/living-florence-american-expat/,regions/living-florence-american-expat/index.html,Living in Florence as an American Expat (2025) — Italopedia,59,,"The complete guide to living in Florence as an American — best neighborhoods (Oltrarno, Santo Spirito, Pitti), real costs, the enormous expat community, the...",159,NO Italy/Italian in description
MEDIUM,/regions/living-in-tuscany-american-expat/,regions/living-in-tuscany-american-expat/index.html,Living in Tuscany as an American (2025) — Italopedia,52,,"The complete, honest guide to living in Tuscany as an American — best cities and villages, real costs, what daily life looks like, and how to make it work on...",160,NO Italy/Italian in description
MEDIUM,/regions/living-rome-american-expat/,regions/living-rome-american-expat/index.html,Living in Rome as an American (2025) — Italopedia,49,,"Everything Americans need to know about living in Rome — best neighborhoods, real costs, healthcare, bureaucracy, expat community, and honest pros and cons of...",161,NO Italy/Italian in description
MEDIUM,/regions/sicily-american-expats-guide/,regions/sicily-american-expats-guide/index.html,Sicily for American Expats (2025) — Italopedia,46,,"Everything Americans need to know about living in Sicily — the best towns (Palermo, Catania, Syracuse, the Baroque southeast), real costs, the 7% flat tax...",157,NO Italy/Italian in description
MEDIUM,/shop/,shop/index.html,Italopedia Shop — Premium Italy Guides for Americans — Italopedia,65,No year (2025) in title,"Comprehensive PDF guides and templates for Americans moving to Italy. Curated by Fabrizio Boggio, Turin.",104,
MEDIUM,/taxes/us-italy-social-security-totalization-agreement/,taxes/us-italy-social-security-totalization-agreement/index.html,US-Italy Social Security Totalization Agreement — Italopedia,60,No year (2025) in title,"How the US-Italy Social Security Totalization Agreement works, who benefits from it, how to combine work credits from both countries, and what the 2025 Fairness...",163,
MEDIUM,/terms/,terms/index.html,Terms of Service — Italopedia,29,"TOO SHORT (29 chars, min 30)",The terms under which you use Italopedia. Written in plain English. Brief and reasonable.,89,"TOO SHORT (89 chars, min 100)"
MEDIUM,/thank-you/,thank-you/index.html,Thank You — Italopedia,22,"TOO SHORT (22 chars, min 30)",,0,MISSING description (service page)
OK,/about/,about/index.html,About Italopedia & Fabrizio Boggio — Italopedia,47,,"Italopedia is an English-language reference site for Americans moving to Italy, written by Fabrizio Boggio from Piedmont. The story, the editorial standards, and...",164,
OK,/affiliate-disclosure/,affiliate-disclosure/index.html,Affiliate Disclosure — Italopedia,33,,"Some links on Italopedia are affiliate links. Here's our full disclosure — what they are, which companies they go to, and how we keep editorial independence.",157,
OK,/checklist/,checklist/index.html,Free 47-Point Italy Relocation Checklist — Italopedia,53,,"Download our complete 47-point checklist for moving to Italy as an American. PDF format, 22 pages, every step from year -1 to month +12.",136,
OK,/citizenship/apostille-document-translation-italy/,citizenship/apostille-document-translation-italy/index.html,Apostille & Document Translation for Italy (2025) — Italopedia,62,,"Everything Americans need to know about apostilling U.S. documents for Italy and getting certified Italian translations — which documents need apostilles, how to...",164,
OK,/citizenship/citizenship-court-vs-consulate-route/,citizenship/citizenship-court-vs-consulate-route/index.html,Italian Citizenship: Court vs Consulate Route (2025) — Italopedia,65,,"Complete comparison of the two pathways to Italian citizenship by descent — the consulate route and the Italian court route. Real timelines, costs, pros and...",159,
OK,/citizenship/italian-citizenship-10-years-residency-naturalization/,citizenship/italian-citizenship-10-years-residency-naturalization/index.html,Italian Citizenship by 10 Years of Residency (2025) — Italopedia,64,,"Americans who lived legally in Italy for 10 consecutive years can apply for Italian citizenship by naturalization. Requirements: B1 Italian, income threshold,...",161,
OK,/citizenship/italian-citizenship-1948-case/,citizenship/italian-citizenship-1948-case/index.html,Italian Citizenship 1948 Case (2025) — Italopedia,49,,"Complete guide to claiming Italian citizenship through the maternal line via the 1948 Case — what it is, who qualifies, the court process, costs, and current...",160,
